Номер	Слово	Номер урока	Перевод 1	Перевод 2	Перевод 3	
1450	지르다		Кричать			
1454	마르다		Пересохнуть			
1456	애쓰다		Сделать усилия, чтобы сделать что-то			
1457	올바르다		Быть честным, простым			
1459	춥다		Холодный			
1460	흔하다		Быть везде			
1461	높아지다		Стать высоким			
1462	늙다		Стареть			
1464	무겁다		Тяжелый, душный			
1470	인식하다		Узнавать, признавать			
1483	구성하다		Организовать или приготовить			
1490	특별하다		Быть особенным, экстраординарным			
1493	낫다		Превосходить			
1494	넘어서다		Проходить			
1495	볶다		Жарить			
1496	생산하다		Создавать, изготовлять			
1500	저지르다		делать, совершать, испортить			
1501	줄어들다		Сокращаться прочь			
1511	가난하다		Бедный			
1515	살아오다		Ожить			
1525	들려오다		Издавать эхо, звук			
1528	풀리다		Ослабнуть			
1529	강력하다		Быть сильным или мощным			
1536	활용하다		Использовать, практично использовать			
1537	가꾸다		"Расти, выращивать; одеваться"			
1542	좁다		Узкий			
1544	집다		Подобрать			
1551	생겨나다		Начинать			
1556	틀림없다		Не ошибаться			
1558	피다		Цвести			
1562	지다		Нести (на спине)			
1563	채우다		Заполнить, завершить выполнить			
1571	지켜보다		Смотреть, уставиться на что-то			
1573	달리다		Повиснуть, быть приостановленным			
1574	더하다		Становиться хуже			
1575	무너지다		Коллапсировать			
1577	쓰다		Носить (шляпу)			
1578	이러다		Думать или говорить таким образом			
1579	일어서다		Подняться, встать			
1586	달려가다		Спешить			
1589	불편하다		Неприятный			
1596	비싸다		Быть дорогим			
1605	놀랍다		Быть удивительным			
1610	틀리다		Деформированный 2) Ошибочный			
1613	붓다		наливать (вода, жидкость)			
1616	시원하다		Прохладный, освежающий			
1617	아니하다		Не делать, не быть			
1618	의식하다		Быть сознательным, быть в курсе			
1620	궁금하다		Быть любопытным, интересоваться чем-то			
1623	살피다		Внимательно посмотреть на что-то			
1624	약하다		Быть слабым			
1625	잘못하다		Сделать ошибку			
1627	거부하다		Запретить или отклонить или не одобрить			
1629	그만두다		Остановить или прекратить			
1631	반갑다		Быть счастливым			
1638	다녀오다		Заглянуть, совершить короткий визит			
1639	달다		Приложить, исправить			
1646	아끼다		"Недовольный; запасной"			
1649	판단하다		Делать вывод			
1650	행복하다		Быть счастливым			
1651	굽다		Жарить или запекать			
1653	실천하다		Практиковать, проверить теорию			
1654	쏟아지다		Вылить			
1658	익히다		Привыкать к			
1661	풍부하다		Быть в изобилии, обильный			
1663	기억하다		Напоминать или вспомнить			
1671	미치다		Быть сумасшедшим			
1672	밟다		Наступить			
1673	상당하다		Быть подходящим, подходить			
1674	섞다		смешать			
1676	없애다		Удалить, избавиться от, покончить с			
1677	이뤄지다		Сделать что-то для определенной цели			
1678	적절하다		Уместный			
1685	굵다		Толстый, жирный			
1687	낡다		Очищать			
1692	방문하다		Посетить			
1693	붉다		Красный			
1699	위대하다		Великий, могучий			
1701	지배하다		Контролировать, управлять			
1704	거대하다		Огромный, гигантский			
1705	닫다		Закрыть			
1706	매달리다		Приостановить, задержать работу			
1710	참석하다		Участвовать, принять участие в			
1714	걸어가다		Идти пешком, гулять			
1719	변화하다		Изменить, разнообразить			
1721	빠져나가다		Выйти отсюда			
1722	안녕하다		Сказать привет			
1726	출발하다		Отойти, оставить			
1729	결정되다		Стать решенным			
1735	소중하다		Быть важным, ценным			
1745	빛나다		Блестеть			
1746	숨다		быть в бегах, скрывать себя			
1747	실리다		Печатать, записывать, загружать в грузовик			
1750	예상되다		Ожидать, предвидеть			
1756	물다		укусить, положить в рот			
1769	반대하다		Быть в отличие от			
1770	발휘하다		Показывать, выставлять на показ			
1785	먹이다		поддерживать, кормить			
1786	무시하다		"пренебрегать, игнорировать; быть дерзким"			
1787	보도하다		Сообщить, информировать			
1789	생각나다		Запомнить			
1792	차갑다		Холодный			
1793	철저하다		Быть тщательным, чистым			
1795	관찰하다		Наблюдать или просмотреть или смотреть			
1797	끼다		Носить, надевать (кольцо)			
1804	성공하다		Добиться успеха			
1808	운영하다		Управлять, администрировать			
1809	평가하다		Оценить, судить			
1812	감추다		Скрывать			
1813	머무르다		Ночевать			
1815	비우다		пустой, свободный			
1816	설치하다		Основать, установить, создать			
1818	싸다		Обернуть, запаковать			
1821	형성하다		Формировать, сделать, взять форму			
1823	화려하다		Великолепный, величественный с виду			
1825	덧붙이다		Добавить			
1835	타다		Жечь, поджигать			
1836	틀다		Крутить, вертеть			
1839	감다		Закрывать			
1843	비치다		Блеск			
1848	실시되다		Быть исполненным			
1851	앓다		Болеть			
1854	위험하다		Быть опасным			
1857	졸업하다		Выпускаться (из университета)			
1860	포함되다		Быть включенным			
1862	강화하다		Укреплять			
1866	미루다		"Отложить на потом; догадаться, вывести и сделать обоснованное предположение"			
1877	펼쳐지다		Удлинить, расширить			
1878	경험하다		Испытать, пройти через			
1880	넘치다		Быть переполненным			
1881	놓치다		Пропустить, проговориться			
1886	불안하다		Быть непростым, беспокоящимся			
1891	해당하다		Быть применимым			
1896	덮다		Покрыть, завесить			
1897	도와주다		Помогать			
1899	몰다		"Водить; преследовать"			
1901	비추다		"пролить свет на что-то; отразить в зеркале"			
1904	앞서다		Быть прежде, предшествовать			
1911	끄덕이다		Кивнуть			
1912	낯설다		Быть незнакомым, не знать кого-то			
1914	닮다		Походить			
1916	못지않다		Быть же хорошо, как			
1917	반영하다		Отразить, быть отраженным			
1919	성장하다		Вырастить, воспитать			
1921	연결되다		Подключить, приложить			
1925	차다		пинать			
1927	취하다		Быть пьяным			
1930	헤어지다		Отделить			
1931	구입하다		Купить			
1932	날다		Летать			
1939	순수하다		Быть чистым			
1942	싸다		Дешевый			
1948	대단하다		Значительное, великий			
1953	의존하다		Зависеть, полагаться на			
1957	지치다		Быть исчерпанным, усталым			
1960	확대하다		Увеличить			
1962	건설하다		Построить или возводить			
1971	출연하다		Появляться на сцене, выступать, петь			
1975	건너다		Перейти над или идти через			
1976	깨다		Проснуться			
1978	다가가다		Стать близко к			
1980	묻다		окрашивать			
1981	비롯되다		Быть начатым			
1982	슬프다		Быть грустным, скорбеть			
1984	여겨지다		Смотреть, казаться			
1992	전해지다		Быть переданным			
1998	편리하다		Быть удобным			
2002	활발하다		Быть живым, бодрым			
2003	가리다		Складывать, раскладывать, собирать в кучу			
2004	거칠다		Грубый (текстуры) или дикий (поведение) или (дождь и ветер) суровый			
2017	조그맣다		крошечный, небольшой			
2019	찾아내다		Узнать, открыть			
2022	권하다		"информировать или убеждать; рекомендовать"			
2033	쏟다		Влить			
2034	연결하다		Подключить, приложить			
2042	부끄럽다		Стыдиться			
2044	수행하다		Достигать			
2048	알아듣다		Прослушать и понять			
2056	진지하다		Быть серьезным			
2057	치다		рассчитывать, считаться, считать			
2059	흔들리다		Встрястись, раскачаться, задрожать			
2061	날아가다		Улететь			
2062	많아지다		Стать в большом количестве			
2065	비판하다		Критиковать			
2066	빨갛다		темно-красный, малиновый			
2067	세워지다		Быть взведенным			
2069	쉬다		дышать			
2074	접근하다		подходить, приблизиться			
2075	편안하다		Быть мирным			
2077	흩어지다		Рассеять, развеять			
2078	갈다		"острое (лезвие); раздраженный; делать сок в миксере"			
2084	대응하다		"Справиться; соответствовать"			
2089	부럽다		Быть завидным			
2091	섞이다		Смешивать			
2095	쏘다		"Стрелять; Жалить, кусать (насекомые, животные)"			
2097	위치하다		Быть расположенным			
2098	이룩하다		Поднять, построить			
2100	전달하다		Доставлять			
2102	추다		Танцевать			
2103	켜다		Светить, включиться, разжигать			
2105	행동하다		Действовать, вести себя			
2113	급하다		Быть срочным			
