Номер	Слово	Номер урока	Перевод 1	Перевод 2	Перевод 3	
4866	슬퍼하다		Быть печальным, быть грустным			
4874	여전하다		Быть неизменным, как и раньше			
4878	운전하다		Водить			
4888	제대하다		Быть демилитаризованным из армии			
4889	졸다		дремать, вздремнуть			
4904	걷다		Идти на или наступать на			
4905	겁나다		Быть испуганным			
4910	눈감다		Закрыть глаза			
4911	눈뜨다		Открыть глаза			
4912	대화하다		Беседовать			
4915	모집하다		Позвонить, обратиться			
4916	미워하다		Не любить, ненавидеть			
4924	소문나다		Запускать слух			
4925	소용없다		Быть бесполезным			
4926	속상하다		Быть тревожным			
4931	수입되다		Быть импортированным			
4944	이사하다		Переезжать			
4946	작아지다		Стать меньше			
4948	좁히다		Сделать узким, ограничить			
4952	지워지다		Быть стертым			
4953	지저분하다		Быть грязным			
4955	찬성하다		Утвердить, поддержать (план)			
4962	친해지다		Стать близким, подружиться			
4972	개다		Очистить или стать ясным (погода)			
4973	고급스럽다		Быть высокого класса			
4974	고소하다		Иметь вкус кунжутного масла или вкус ореха			
4976	깨어지다		Разбудить			
4980	녹음하다		Записать			
4983	되돌아보다		Оглянуться назад на			
4986	먹히다		Быть съеденным, проглоченным			
4991	반기다		Радоваться			
4995	복사하다		воспроизводить, копировать			
4996	붓다		Быть опухшими			
4999	사과하다		Извиниться			
5004	앞바다		Прибрежные воды			
5005	얄밉다		Быть оскорбляющим, подлым			
5008	연기하다		Откладывать			
5012	유능하다		Быть компетентным, талантливым			
5015	응답하다		Отвечать			
5016	이롭다		Быть хорошим для			
5026	참고하다		Консультироваться, ссылаться			
5030	추천하다		Рекомендовать, сказать доброе слово для			
5033	판매되다		Быть продающимся			
5035	포근하다		Быть мягким и удобным, пушистым			
5039	한정하다		Ограничить			
5040	향상되다		Быть улучшенным, расширенным			
5045	건조하다		Засыхать или становиться сухим			
5058	떠나오다		вернуться из США			
5060	밝다		Быть ярким			
5063	배부르다		Быть полным			
5067	불확실하다		Быть неуверенным			
5072	서투르다		неквалифицированный, неуклюжий			
5077	시들다		Вянуть, умирать, исчезать			
5081	싱겁다		Быть безвкусным, не иметь вкуса			
5083	야하다		Быть безвкусным (в одежде), быть броским			
5090	우승하다		Взять первое место			
5098	적어지다		Стать меньше			
5106	퇴근하다		Прийти с работы домой			
5107	표시하다		Дать знак, показать			
5108	피로하다		Быть уставшим			
5112	화나다		Рассердиться			
5113	효도하다		Быть хорошим сыном / дочерью к своим родителям			
5116	갈아타다		Трансфер, пересадка (автобус или метро)			
5120	굉장하다		Быть великим или великолепным или блестящим			
5123	긴장되다		Быть под напряжением			
5124	깨끗해지다		Стать чистым			
5132	더러워지다		Стать грязным			
5133	데우다		Согреть, нагреть			
5135	동그랗다		Быть круглым			
5137	무덥다		знойный, душный			
5142	밝아지다		Стать ярким			
5143	밤새다		Не спать всю ночь			
5145	분명해지다		Стать ясным			
5156	심각해지다		Стать серьезным			
5158	씻기다		Увлечься, быть смытым			
5159	안심하다		Охранять, защищать, облегчать			
5166	얕다		Быть мелким, поверхностным			
5167	어두워지다		Темнеть			
5172	연기되다		Откладывать, отложить			
5175	올라타다		Залезь, забраться в			
5180	읽히다		Заставить человка прочитать, заставить человека узнать			
5181	잡수다		есть, пить			
5185	즐거워하다		Наслаждаться этим			
5186	집중하다		Сосредоточиться			
5187	짜다		Быть соленым			
5188	짜증스럽다		Быть раздражающим			
5194	충돌하다		Столкновение, коллизия			
5201	감소되다		Сокращаться или уменьшаться			
5203	공연되다		Дать публичное исполнение			
5205	괴로워하다		Создавать проблемы, причинять горе			
5208	까먹다		Ломать, снимать кожуру и есть			
5211	꾸다		Мечтать, иметь мечту			
5213	다양해지다		Быть различным			
5215	데려오다		Сопровождать			
5225	무책임하다		Быть безответственным			
5226	반짝거리다		Мерцать, блестеть (звезды)			
5227	밤새우다		Сидеть всю ночь			
5237	서툴다		Быть бедным, иметь затруднения			
5241	손잡다		Взять человека за руку			
5243	순하다		Быть нежным, послушным			
5247	실수하다		Сделать ошибку			
5253	외출하다		Выйти из (дверей)			
5254	욕하다		Оскорблять, говорить плохие слова			
5261	자살하다		Покончить жизнь самоубийством			
5273	지우다		Положить вещь на спину			
5277	촌스럽다		Быть немодным			
5292	혼나다		Испугаться			
5304	기억되다		Быть запомненным, быть в памяти			
5305	까다		Очищать от кожуры, счищать шелуху			
5307	꾸준하다		Быть постоянным или напористым			
5312	달다		Вешать, взвешивать			
5314	먹다		Глохнуть			
5315	무관심하다		Быть безразличным к			
5316	무사하다		Быть безопасным, мирным			
5319	번역하다		Переводить			
5321	부지런하다		Быть усердным			
5323	비기다		Закончиться вничью, быть так-сяк			
5327	섹시하다		Быть сексуальным			
5328	소비하다		Потребление			
5329	수리하다		ремонт, починка			
5332	식히다		Охлаждить, дать остыть			
5333	싫어지다		Стать неприятным			
5334	씻기다		Стирать			
5335	얼리다		Замораживать, сделать лед			
5337	열리다		Плодоносить			
5346	이혼하다		Быть разведенным			
5348	입사하다		Присоединиться к компании			
5349	재우다		Усыпить			
5350	전시되다		Быть выставленным			
5351	졸리다		Почувствовать сонливость			
5356	쩔쩔매다		Быть в недоумении, путать			
5359	추가되다		Быть добавленным			
5361	치우다		Покончить с, избавиться от			
5368	풀어지다		Освободить, смягчиться, размокнуть (лапша)			
5376	흐려지다		Стать облачным, пасмурным			
5377	희망하다		Надеяться			
5378	힘들어하다		Быть требовательным			
5379	강의하다		Давать лекцию			
5380	걱정되다		Стать беспокойным			
5381	공연하다		Предложить действие			
5394	쓰다		Быть горьким (овощи)			
5398	추가하다		Добавить что-нибудь, дополнить			
5408	못생기다		Уродливый			
5433	퇴원하다		Покинуть больницу			
5444	예약하다		Забронировать заранее, внести залог			
5450	게으르다		Ленивый			
5456	미끄럽다		Быть скользким			
5467	선물하다		Подарить подарок			
5470	요리하다		Приготовить (продукты питания)			
5481	맛없다		Быть невкусным			
5501	발음하다		Произносить			
5503	복습하다		Просматривать			
5505	실례하다		Быть невежливым			
5528	주차하다		Парковать			
5564	결석하다		Отсутствовать			
5574	예매하다		Покупать предварительно, предзаказывать			
5576	예습하다		Подготавливать уроки, репетировать			
5578	출석하다		Посещать, присутствовать (на занятиях)			
5613	발달하다		Продвигаться			
5614	지적하다		Указывать			
5621	기다리다		Ждать			
